Start_X,Start_Y,Goal_X,Goal_Y,Path_Length,Traversability_Cost
65,25,84,73,18,128.13823203122416
65,25,85,73,17,111.84967162131308
65,25,91,81,20,125.6796506723855
65,25,88,74,18,123.37057150751002
65,25,88,70,17,112.44745442955525
65,25,87,79,27,189.0071052328323
65,25,85,67,15,98.07803235734315
65,25,86,68,20,133.132862873739
65,25,85,67,16,107.15641993652524
65,25,88,81,18,122.39620313545423
65,25,85,79,23,157.30039219399882
65,25,84,75,16,107.53794288584355
65,25,90,76,20,135.84745160980196
65,25,91,65,14,90.02428014995408
65,25,85,73,19,122.73781476579286
65,25,84,70,17,99.81710113480277
65,25,86,76,27,186.6315005981515
65,25,89,81,17,111.98007634760337
65,25,85,73,22,146.08116443628893
65,25,85,80,31,196.05657257937327
65,25,91,65,17,114.3029916946669
65,25,85,80,21,139.41280103619707
65,25,62,36,4,20.189500425293556
65,25,63,38,4,20.302395118187448
65,25,66,37,4,17.990269196249404
65,25,67,35,4,17.69581317485317
65,25,68,37,6,32.78352932764837
65,25,65,35,4,16.870880861911342
65,25,65,35,4,17.966671713712046
65,25,67,38,4,20.704415880311743
65,25,66,37,4,17.37624203132154
65,25,64,37,4,20.496067413341056
65,25,61,34,4,18.158704004033545
65,25,87,99,40,253.48381235301483
65,25,83,98,22,144.9482609257202
65,25,88,97,27,181.62829600153103
65,25,86,94,27,157.3174877902269
65,25,80,94,29,177.55925235004432
65,25,89,94,22,177.3358942669198
65,25,86,99,26,175.36031282280504
65,25,81,96,28,169.69546458169478
75,25,36,76,29,200.19287162702167
75,25,38,73,26,177.14660920656073
75,25,37,72,18,124.77987569276496
75,25,33,78,21,144.51114689158052
75,25,38,75,25,161.3598146227803
75,25,36,70,26,180.29490933574786
75,25,37,70,29,182.5434096165782
75,25,36,80,26,178.98207373457916
75,25,40,79,25,173.45513771684273
75,25,37,77,21,140.94739209532148
75,25,34,76,25,169.62974691052383
75,25,34,79,23,158.36721854696842
75,25,38,77,26,178.49218273933045
75,25,37,51,14,92.24245970683256
75,25,31,53,17,113.01810674056662
75,25,34,54,19,128.27402969467065
75,25,31,53,17,114.96596552000533
75,25,38,53,13,80.8640491174049
75,25,35,54,18,118.02155959837407
75,25,35,50,16,105.4928496194274
75,25,34,50,15,95.21826439662864
75,25,31,50,17,109.80644007376863
75,25,31,54,19,123.66733900839091
75,25,36,50,15,95.52446742735593
75,25,39,50,15,98.43406907827571
75,25,30,57,18,117.89666809111473
75,25,34,54,16,98.71998680547192
75,25,36,53,15,97.06098953834827
75,25,35,51,19,127.64095039934593
75,25,33,55,16,93.20385549352008
75,25,34,50,15,95.2599038729178
75,25,31,57,18,118.57615120917066
75,25,84,43,6,32.39138360333316
75,25,83,35,5,25.16821206097333
75,25,81,33,4,18.14213128887755
75,25,82,33,4,17.17112310956457
75,25,80,33,5,24.56410722523851
75,25,84,38,5,23.664106817281315
75,25,84,38,5,29.258275530011815
75,25,79,32,3,13.378555029010755
75,25,80,34,5,28.66932741976799
75,25,82,37,4,22.255885584779474
75,25,82,43,11,65.84490292214305
75,25,83,41,5,27.359466795440497
75,25,82,34,5,24.953368812645287
75,25,84,35,4,21.28261163092074
75,25,80,33,6,24.320661716713094
75,25,87,74,14,90.46558626744593
75,25,90,76,14,93.46283653964923
75,25,89,67,11,71.50249701518159
75,25,84,73,15,101.64077142267921
75,25,85,73,13,85.89569930814577
75,25,91,81,25,171.11253144315364
75,25,88,74,13,86.08421277665492
75,25,88,70,16,97.76299457923501
75,25,87,79,16,107.37452113544575
75,25,85,67,16,103.10440007602193
75,25,86,68,12,74.90197857796545
75,25,85,67,13,77.3425697096813
75,25,88,81,15,101.56313062625425
75,25,85,79,18,121.61173549401514
75,25,84,75,13,88.53154640779681
75,25,90,76,16,124.96877335731489
75,25,91,65,12,74.78246935433374
75,25,85,73,15,99.1426909147208
75,25,84,70,15,96.48771616579744
75,25,86,76,15,93.40425594222191
75,25,89,81,20,126.02292635385965
75,25,85,73,16,94.60803029466271
75,25,85,80,23,125.60993608244432
75,25,91,65,11,69.88775296672598
75,25,85,80,17,115.38694653499759
75,25,62,36,6,31.98353558257913
75,25,63,38,5,27.580431020357867
75,25,66,37,8,37.614905342020336
75,25,67,35,4,19.487185717165143
75,25,68,37,5,24.22309764028998
75,25,65,35,6,35.27538906594648
75,25,65,35,5,24.09366531021317
75,25,67,38,7,43.167091804119664
75,25,66,37,5,22.39366937643599
75,25,64,37,5,27.792645867759553
75,25,61,34,6,36.0312389871718
75,25,87,99,23,151.2661958963447
75,25,83,98,29,192.9867104853738
75,25,88,97,20,132.5461427139772
75,25,86,94,22,151.06886151382508
75,25,80,94,23,154.59033248473582
75,25,89,94,26,137.8646716132093
75,25,86,99,27,167.29004383624917
75,25,81,96,23,147.86825453031838
85,25,36,76,23,155.20726308914013
85,25,38,73,27,189.42669385481364
85,25,37,72,27,182.68935663813895
85,25,33,78,28,186.192874005477
85,25,38,75,27,197.80363879198464
85,25,36,70,24,168.85558008243422
85,25,37,70,29,191.78492279894124
85,25,36,80,26,179.7012166514577
85,25,40,79,25,172.84973065900334
85,25,37,77,28,191.33844695980122
85,25,34,76,28,195.48929280729183
85,25,34,79,26,182.30459808389986
85,25,38,77,29,192.5752481681469
85,25,37,51,21,140.02826428393115
85,25,31,53,16,107.3268480720227
85,25,34,54,17,114.91853987125977
85,25,31,53,22,145.57884131880994
85,25,38,53,15,97.89769982738115
85,25,35,54,17,113.82204257287229
85,25,35,50,15,99.26631178529762
85,25,34,50,15,100.40236382561109
85,25,31,50,19,128.16671779928484
85,25,31,54,17,104.87215145684526
85,25,36,50,15,99.83599525438953
85,25,39,50,17,113.95176824013328
85,25,30,57,32,212.28395302879122
85,25,34,54,20,129.26125721771086
85,25,36,53,15,100.7663293489663
85,25,35,51,18,122.05825820883955
85,25,33,55,18,119.57145366311828
85,25,34,50,20,135.82619145370563
85,25,31,57,17,113.59078911819788
85,25,84,43,6,31.837274941870007
85,25,83,35,4,16.07761021203357
85,25,81,33,3,13.789672221472857
85,25,82,33,3,12.358255191189544
85,25,80,33,4,19.645805708166098
85,25,84,38,4,19.894656456848768
85,25,84,38,4,20.00183080728567
85,25,79,32,4,18.86812165505703
85,25,80,34,4,21.747990671099565
85,25,82,37,4,18.833563507265374
85,25,82,43,6,32.4978187014273
85,25,83,41,6,34.02102235745738
85,25,82,34,4,17.192806589548645
85,25,84,35,4,18.93885764724368
85,25,80,33,3,14.382330264117716
85,25,87,74,12,78.01470621278638
85,25,90,76,14,92.03730275970473
85,25,89,67,12,73.60119723146072
85,25,84,73,13,86.53595990974551
85,25,85,73,12,77.60958097076967
85,25,91,81,15,96.19005827141763
85,25,88,74,13,86.55227604460299
85,25,88,70,12,77.27751376156827
85,25,87,79,14,92.1878236855563
85,25,85,67,11,68.22172149502144
85,25,86,68,12,76.91349893523237
85,25,85,67,11,72.111718283049
85,25,88,81,17,112.90438698268615
85,25,85,79,16,106.33833676428782
85,25,84,75,15,97.56035098517154
85,25,90,76,14,87.90947486023549
85,25,91,65,12,78.00177206575984
85,25,85,73,13,79.56878751963819
85,25,84,70,12,79.2967284392546
85,25,86,76,14,83.2691494173445
85,25,89,81,15,97.21862373624596
85,25,85,73,13,86.19564457603269
85,25,85,80,14,92.38637651038015
85,25,91,65,12,73.76548358571262
85,25,85,80,18,107.25714866115095
85,25,62,36,8,48.779370418200685
85,25,63,38,7,42.23330143523732
85,25,66,37,9,51.59955409700589
85,25,67,35,7,38.19769763227269
85,25,68,37,7,42.459593589679045
85,25,65,35,7,41.27459132241133
85,25,65,35,8,51.95874534072984
85,25,67,38,9,52.54212034793645
85,25,66,37,11,68.38138409216403
85,25,64,37,7,43.40900534867777
85,25,61,34,8,46.64009968684617
85,25,87,99,24,133.71926965875352
85,25,83,98,39,253.34719357405567
85,25,88,97,42,265.47952357709534
85,25,86,94,29,177.71516294558634
85,25,80,94,21,135.1896137796386
85,25,89,94,20,130.13099525079946
85,25,86,99,23,124.7281381559207
85,25,81,96,33,220.36080504123868
95,25,36,76,28,182.7690267720876
95,25,38,73,37,215.25584339263327
95,25,37,72,28,192.73005367950975
95,25,33,78,27,183.137301879327
95,25,38,75,36,239.50465806035206
95,25,36,70,28,187.04684442560801
95,25,37,70,30,181.09517213847363
95,25,36,80,30,207.6383285753586
95,25,40,79,32,209.08526045853674
95,25,37,77,32,218.48634940749372
95,25,34,76,32,212.42930744589162
95,25,34,79,33,238.25230417033467
95,25,38,77,25,172.26436756036588
95,25,37,51,25,168.1339480759605
95,25,31,53,23,155.4859206049525
95,25,34,54,21,142.00022133367585
95,25,31,53,19,130.7055750364081
95,25,38,53,18,120.53136220865315
95,25,35,54,24,165.3659645283573
95,25,35,50,18,121.70486695513857
95,25,34,50,23,154.19477674757977
95,25,31,50,25,147.93100660172084
95,25,31,54,24,162.5975686262525
95,25,36,50,18,121.65266576409073
95,25,39,50,20,133.16950447409306
95,25,30,57,24,163.2403277741878
95,25,34,54,21,135.4045604705475
95,25,36,53,21,143.64907309382605
95,25,35,51,23,142.44746082455723
95,25,33,55,20,132.32138042515663
95,25,34,50,17,112.78338046073202
95,25,31,57,22,151.75659180804536
95,25,84,43,7,38.164885505352146
95,25,83,35,5,27.063981758033126
95,25,81,33,6,31.08571333832552
95,25,82,33,5,24.136308570502134
95,25,80,33,9,52.377596170009504
95,25,84,38,6,32.66437859577051
95,25,84,38,5,26.87696319717502
95,25,79,32,6,31.420642934851585
95,25,80,34,7,38.6865587919795
95,25,82,37,7,39.15510212909938
95,25,82,43,8,46.54705355468991
95,25,83,41,7,37.30198989213819
95,25,82,34,5,24.466132009206714
95,25,84,35,5,28.487766633296523
95,25,80,33,5,26.04336080059587
95,25,87,74,14,90.83201049215894
95,25,90,76,15,90.75841167363949
95,25,89,67,11,69.3177695374424
95,25,84,73,12,79.5940248994632
95,25,85,73,12,74.60309041494612
95,25,91,81,15,101.90330110262542
95,25,88,74,15,95.21735760513631
95,25,88,70,13,86.24160214110086
95,25,87,79,16,99.54337756055652
95,25,85,67,13,80.94246748378364
95,25,86,68,11,70.955581176122
95,25,85,67,14,90.73665799686499
95,25,88,81,16,101.75074104035345
95,25,85,79,16,108.9725827537898
95,25,84,75,17,99.08649824281615
95,25,90,76,15,95.13006186705208
95,25,91,65,14,80.09091578240887
95,25,85,73,14,91.92084849318383
95,25,84,70,14,85.11585501469823
95,25,86,76,13,84.4483858533472
95,25,89,81,15,98.61744841298517
95,25,85,73,15,101.2320298780742
95,25,85,80,15,101.0092425877285
95,25,91,65,12,79.43922349207634
95,25,85,80,14,94.41872246874398
95,25,62,36,9,55.51944692939872
95,25,63,38,13,81.08495385802392
95,25,66,37,9,52.451038505959204
95,25,67,35,15,100.23602735484016
95,25,68,37,16,101.33655911452463
95,25,65,35,9,57.78982824626842
95,25,65,35,8,49.873706097909654
95,25,67,38,13,83.21383554444834
95,25,66,37,10,62.80683309664979
95,25,64,37,15,77.40112532730677
95,25,61,34,10,63.773770328517706
95,25,87,99,22,140.9188293085134
95,25,83,98,43,262.84082491628055
95,25,88,97,22,139.7087713936431
95,25,86,94,22,129.9885957958816
95,25,80,94,23,154.61078490514214
95,25,89,94,17,116.0102507770948
95,25,86,99,23,127.7709507250954
95,25,81,96,25,168.21633872623022
25,37,36,76,11,73.01900816781722
25,37,38,73,14,88.7750927913029
25,37,37,72,17,107.17713557862399
25,37,33,78,13,82.8248925835821
25,37,38,75,17,104.97276255776
25,37,36,70,10,63.632880195908825
25,37,37,70,14,89.44829238412264
25,37,36,80,13,84.93628837459819
25,37,40,79,17,105.25461601274363
25,37,37,77,12,76.39359069065041
25,37,34,76,12,80.65625294633368
25,37,34,79,19,122.16595645679261
25,37,38,77,16,103.50576320395598
25,37,37,51,7,42.53878884310338
25,37,31,53,5,27.735434283919332
25,37,34,54,6,31.694077061930344
25,37,31,53,6,29.764196578818794
25,37,38,53,7,43.31457398320977
25,37,35,54,6,33.87721846007257
25,37,35,50,5,27.835046355789085
25,37,34,50,7,41.155313514031384
25,37,31,50,4,21.34014986076857
25,37,31,54,5,27.52227742183393
25,37,36,50,6,34.3484768998446
25,37,39,50,8,48.37904012162272
25,37,30,57,8,46.21064975816085
25,37,34,54,7,40.01229844643807
25,37,36,53,8,43.652701852813685
25,37,35,51,6,30.596365448190586
25,37,33,55,9,47.43753706187609
25,37,34,50,7,32.849975123490765
25,37,31,57,8,45.810232013697934
25,37,84,43,21,144.31234088614556
25,37,83,35,21,140.70418143516233
25,37,81,33,19,129.0016131193426
25,37,82,33,17,99.5568156429371
25,37,80,33,16,106.71843467078352
25,37,84,38,23,147.83036762264314
25,37,84,38,17,114.80797106467583
25,37,79,32,20,135.4317135537764
25,37,80,34,17,112.37413709514374
